mode,sample_fraction,run,gen,phenotype,phenotype_in_cache,hit,fitness_cached,fitness_full_train,fake_hit,fitness_diff
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[5],x[0])))",,False,,0.5175438596491229,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[2],x[7])))",,False,,0.6885964912280702,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(sub(x[2],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(sub(x[2],x[7]), mul(99.92,mul(x[3],mul(x[5],x[7])))))",True,0.5701754385964912,0.5701754385964912,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2587719298245614,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))",True,0.2894736842105263,0.2894736842105263,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[5],x[2]), x[3]))",,False,,0.2850877192982456,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],sub(x[5],x[3]))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2719298245614034,True,-0.0263157894736842
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],42.80)))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],46.93)))",True,0.2894736842105263,0.2894736842105263,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), add(x[3],x[2])))",,False,,0.6535087719298245,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), x[5]))",,False,,0.513157894736842,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[3]), x[2]))",,False,,0.6929824561403508,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(x[3], mul(x[5],x[7])))",,False,,0.5482456140350878,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(mul(x[2],x[7]),mul(98.46,x[2]))))",,False,,0.6842105263157895,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[2]), x[2]))",,False,,0.6754385964912281,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[3],mul(x[3],x[7]))))",,False,,0.2850877192982456,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(add(add(x[7],mul(x[3],x[2])),x[7]),x[7]), mul(x[3],x[2])))",,False,,0.3026315789473685,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],80.46))))",,False,,0.2850877192982456,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[5],mul(x[2],x[7]))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[7],x[7]), x[0]))",,False,,0.6666666666666667,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))",True,0.2894736842105263,0.2894736842105263,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[7],x[2]), x[7]))",,False,,0.7017543859649122,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(x[7], mul(add(x[5],mul(mul(x[3],mul(x[3],x[5])),sub(add(x[2],x[5]),pdiv(x[5],mul(x[3],x[0]))))),x[5])))",,False,,0.3333333333333333,False,0.0
farthest_point,0.1,1,4,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2241379310344827,True,-0.0346339987900786
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[2],x[7])))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])))",True,0.2894736842105263,0.2894736842105263,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[3],mul(x[3],mul(x[3],x[5]))), sub(add(x[2],x[5]),pdiv(x[5],mul(x[3],x[0])))))",,False,,0.3859649122807017,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[5],x[2]), x[2]))",,False,,0.6929824561403508,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[2]), mul(x[3],mul(x[5],x[7]))))",,False,,0.2719298245614034,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[2],x[5]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[3],x[5]))))",True,0.2719298245614034,0.2675438596491228,True,-0.0043859649122806
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[5],x[7])))",,False,,0.4561403508771929,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[3]), mul(x[3],mul(x[3],mul(x[3],x[5])))))",,False,,0.2631578947368421,False,0.0
farthest_point,0.1,1,5,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[2],x[7]))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
